model RSP_Z RSP_X RSP_mass RSP_L RSP_Teff
280 0.004 0.74 14.2 70200.0 4800.0
281 0.004 0.74 14.2 70200.0 4850.0
282 0.004 0.74 14.2 70200.0 4900.0
283 0.004 0.74 14.2 70200.0 4950.0
284 0.004 0.74 14.2 70200.0 5000.0
285 0.004 0.74 14.2 70200.0 5050.0
286 0.004 0.74 14.2 70200.0 5100.0
287 0.004 0.74 14.2 70200.0 5150.0
288 0.004 0.74 14.2 70200.0 5200.0
289 0.004 0.74 14.2 70525.0 4400.0
290 0.004 0.74 14.2 70525.0 4450.0
291 0.004 0.74 14.2 70525.0 4500.0
292 0.004 0.74 14.2 70525.0 4550.0
293 0.004 0.74 14.2 70525.0 4600.0
294 0.004 0.74 14.2 70525.0 4650.0
295 0.004 0.74 14.2 70525.0 4700.0
296 0.004 0.74 14.2 70525.0 4750.0
297 0.004 0.74 14.2 70525.0 4800.0
298 0.004 0.74 14.2 70525.0 4850.0
299 0.004 0.74 14.2 70525.0 4900.0
300 0.004 0.74 14.2 70525.0 4950.0
301 0.004 0.74 14.2 70525.0 5000.0
302 0.004 0.74 14.2 70525.0 5050.0
303 0.004 0.74 14.2 70525.0 5100.0
304 0.004 0.74 14.2 70525.0 5150.0
305 0.004 0.74 14.2 70525.0 5200.0
306 0.004 0.74 14.2 70850.0 4400.0
307 0.004 0.74 14.2 70850.0 4450.0
308 0.004 0.74 14.2 70850.0 4500.0
309 0.004 0.74 14.2 70850.0 4550.0
310 0.004 0.74 14.2 70850.0 4600.0
311 0.004 0.74 14.2 70850.0 4650.0
312 0.004 0.74 14.2 70850.0 4700.0
313 0.004 0.74 14.2 70850.0 4750.0
314 0.004 0.74 14.2 70850.0 4800.0
315 0.004 0.74 14.2 70850.0 4850.0
316 0.004 0.74 14.2 70850.0 4900.0
317 0.004 0.74 14.2 70850.0 4950.0
318 0.004 0.74 14.2 70850.0 5000.0
319 0.004 0.74 14.2 70850.0 5050.0
320 0.004 0.74 14.2 70850.0 5100.0
321 0.004 0.74 14.2 70850.0 5150.0
322 0.004 0.74 14.2 70850.0 5200.0
323 0.004 0.74 14.2 71175.0 4400.0
324 0.004 0.74 14.2 71175.0 4450.0
325 0.004 0.74 14.2 71175.0 4500.0
326 0.004 0.74 14.2 71175.0 4550.0
327 0.004 0.74 14.2 71175.0 4600.0
328 0.004 0.74 14.2 71175.0 4650.0
329 0.004 0.74 14.2 71175.0 4700.0
330 0.004 0.74 14.2 71175.0 4750.0
331 0.004 0.74 14.2 71175.0 4800.0
332 0.004 0.74 14.2 71175.0 4850.0
333 0.004 0.74 14.2 71175.0 4900.0
334 0.004 0.74 14.2 71175.0 4950.0
335 0.004 0.74 14.2 71175.0 5000.0
336 0.004 0.74 14.2 71175.0 5050.0
337 0.004 0.74 14.2 71175.0 5100.0
338 0.004 0.74 14.2 71175.0 5150.0
339 0.004 0.74 14.2 71175.0 5200.0
340 0.004 0.74 14.3 71500.0 4400.0
341 0.004 0.74 14.3 71500.0 4450.0
342 0.004 0.74 14.3 71500.0 4500.0
343 0.004 0.74 14.3 71500.0 4550.0
344 0.004 0.74 14.3 71500.0 4600.0
345 0.004 0.74 14.3 71500.0 4650.0
346 0.004 0.74 14.3 71500.0 4700.0
347 0.004 0.74 14.3 71500.0 4750.0
348 0.004 0.74 14.3 71500.0 4800.0
349 0.004 0.74 14.3 71500.0 4850.0
350 0.004 0.74 14.3 71500.0 4900.0
351 0.004 0.74 14.3 71500.0 4950.0
352 0.004 0.74 14.3 71500.0 5000.0
353 0.004 0.74 14.3 71500.0 5050.0
354 0.004 0.74 14.3 71500.0 5100.0
355 0.004 0.74 14.3 71500.0 5150.0
356 0.004 0.74 14.3 71500.0 5200.0
357 0.004 0.74 14.3 71825.0 4400.0
358 0.004 0.74 14.3 71825.0 4450.0
359 0.004 0.74 14.3 71825.0 4500.0
360 0.004 0.74 14.3 71825.0 4550.0
361 0.004 0.74 14.3 71825.0 4600.0
362 0.004 0.74 14.3 71825.0 4650.0
363 0.004 0.74 14.3 71825.0 4700.0
364 0.004 0.74 14.3 71825.0 4750.0
365 0.004 0.74 14.3 71825.0 4800.0
366 0.004 0.74 14.3 71825.0 4850.0
367 0.004 0.74 14.3 71825.0 4900.0
368 0.004 0.74 14.3 71825.0 4950.0
369 0.004 0.74 14.3 71825.0 5000.0
370 0.004 0.74 14.3 71825.0 5050.0
371 0.004 0.74 14.3 71825.0 5100.0
372 0.004 0.74 14.3 71825.0 5150.0
373 0.004 0.74 14.3 71825.0 5200.0
374 0.004 0.74 14.3 72150.0 4400.0
375 0.004 0.74 14.3 72150.0 4450.0
376 0.004 0.74 14.3 72150.0 4500.0
377 0.004 0.74 14.3 72150.0 4550.0
378 0.004 0.74 14.3 72150.0 4600.0
379 0.004 0.74 14.3 72150.0 4650.0
380 0.004 0.74 14.3 72150.0 4700.0
381 0.004 0.74 14.3 72150.0 4750.0
382 0.004 0.74 14.3 72150.0 4800.0
383 0.004 0.74 14.3 72150.0 4850.0
384 0.004 0.74 14.3 72150.0 4900.0
385 0.004 0.74 14.3 72150.0 4950.0
386 0.004 0.74 14.3 72150.0 5000.0
387 0.004 0.74 14.3 72150.0 5050.0
388 0.004 0.74 14.3 72150.0 5100.0
389 0.004 0.74 14.3 72150.0 5150.0
390 0.004 0.74 14.3 72150.0 5200.0
